sequence_uid,sequence_name,dataset,source_split,xml_path,raw_spots,filtered_spots,raw_edges,filtered_edges,cells,division_cells,shape_valid_spots,mean_shape_missing_fraction
seq0022_HeLa-S3_nuc_pos17_q3_5c,HeLa-S3_nuc_pos17_q3_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos17_q3_5c\HeLa-S3_nuc_pos17_q3_5c_trackmate.xml,1379,1376,1324,1321,61,3,1376,0.0
seq0023_HeLa-S3_nuc_pos18_q1_5c,HeLa-S3_nuc_pos18_q1_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos18_q1_5c\HeLa-S3_nuc_pos18_q1_5c_trackmate.xml,1035,1007,1000,977,30,0,1007,0.0
seq0024_HeLa-S3_nuc_pos19_q1_5c,HeLa-S3_nuc_pos19_q1_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos19_q1_5c\HeLa-S3_nuc_pos19_q1_5c_trackmate.xml,1058,1049,1015,1003,46,0,1049,0.0
seq0025_HeLa-S3_nuc_pos19_q2_5c,HeLa-S3_nuc_pos19_q2_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos19_q2_5c\HeLa-S3_nuc_pos19_q2_5c_trackmate.xml,1072,1066,1033,1025,43,1,1066,0.0
seq0026_HeLa-S3_nuc_pos1_q1_5c,HeLa-S3_nuc_pos1_q1_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos1_q1_5c\HeLa-S3_nuc_pos1_q1_5c_trackmate.xml,802,788,773,756,32,0,788,0.0
seq0027_HeLa-S3_nuc_pos1_q2_5c,HeLa-S3_nuc_pos1_q2_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos1_q2_5c\HeLa-S3_nuc_pos1_q2_5c_trackmate.xml,874,872,840,838,34,0,872,0.0
seq0028_HeLa-S3_nuc_pos1_q3_5c,HeLa-S3_nuc_pos1_q3_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos1_q3_5c\HeLa-S3_nuc_pos1_q3_5c_trackmate.xml,1031,989,985,949,54,7,989,0.0
seq0029_HeLa-S3_nuc_pos20_q0_5c,HeLa-S3_nuc_pos20_q0_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos20_q0_5c\HeLa-S3_nuc_pos20_q0_5c_trackmate.xml,1715,1544,1620,1454,100,5,1544,0.0
seq0030_HeLa-S3_nuc_pos20_q2_5c,HeLa-S3_nuc_pos20_q2_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos20_q2_5c\HeLa-S3_nuc_pos20_q2_5c_trackmate.xml,468,460,448,440,20,0,460,0.0
seq0031_HeLa-S3_nuc_pos21_q1_5c,HeLa-S3_nuc_pos21_q1_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos21_q1_5c\HeLa-S3_nuc_pos21_q1_5c_trackmate.xml,614,595,588,568,31,2,595,0.0
seq0032_HeLa-S3_nuc_pos23_q0_5c,HeLa-S3_nuc_pos23_q0_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos23_q0_5c\HeLa-S3_nuc_pos23_q0_5c_trackmate.xml,953,946,906,901,45,0,946,0.0
seq0033_HeLa-S3_nuc_pos23_q2_5c,HeLa-S3_nuc_pos23_q2_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos23_q2_5c\HeLa-S3_nuc_pos23_q2_5c_trackmate.xml,1344,1310,1288,1256,58,2,1310,0.0
seq0034_HeLa-S3_nuc_pos23_q3_5c,HeLa-S3_nuc_pos23_q3_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos23_q3_5c\HeLa-S3_nuc_pos23_q3_5c_trackmate.xml,679,661,659,640,29,4,661,0.0
seq0035_HeLa-S3_nuc_pos2_q0_5c,HeLa-S3_nuc_pos2_q0_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos2_q0_5c\HeLa-S3_nuc_pos2_q0_5c_trackmate.xml,1936,1911,1867,1848,63,0,1911,0.0
seq0036_HeLa-S3_nuc_pos2_q1_5c,HeLa-S3_nuc_pos2_q1_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos2_q1_5c\HeLa-S3_nuc_pos2_q1_5c_trackmate.xml,1399,1385,1350,1340,45,0,1385,0.0
seq0037_HeLa-S3_nuc_pos2_q2_5c,HeLa-S3_nuc_pos2_q2_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos2_q2_5c\HeLa-S3_nuc_pos2_q2_5c_trackmate.xml,957,943,914,903,40,0,943,0.0
seq0038_HeLa-S3_nuc_pos3_q0_5c,HeLa-S3_nuc_pos3_q0_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos3_q0_5c\HeLa-S3_nuc_pos3_q0_5c_trackmate.xml,1220,1219,1152,1152,67,0,1219,0.0
seq0039_HeLa-S3_nuc_pos3_q2_5c,HeLa-S3_nuc_pos3_q2_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos3_q2_5c\HeLa-S3_nuc_pos3_q2_5c_trackmate.xml,967,951,927,917,34,0,951,0.0
seq0040_HeLa-S3_nuc_pos4_q0_5c,HeLa-S3_nuc_pos4_q0_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos4_q0_5c\HeLa-S3_nuc_pos4_q0_5c_trackmate.xml,932,929,901,901,28,0,929,0.0
seq0041_HeLa-S3_nuc_pos4_q3_5c,HeLa-S3_nuc_pos4_q3_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos4_q3_5c\HeLa-S3_nuc_pos4_q3_5c_trackmate.xml,962,919,919,876,45,1,919,0.0
seq0042_HeLa-S3_nuc_pos5_q0_5c,HeLa-S3_nuc_pos5_q0_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos5_q0_5c\HeLa-S3_nuc_pos5_q0_5c_trackmate.xml,1079,1079,1023,1023,56,0,1079,0.0
seq0043_HeLa-S3_nuc_pos5_q2_5c,HeLa-S3_nuc_pos5_q2_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos5_q2_5c\HeLa-S3_nuc_pos5_q2_5c_trackmate.xml,1482,1475,1405,1402,73,0,1475,0.0
seq0044_HeLa-S3_nuc_pos6_q3_5c,HeLa-S3_nuc_pos6_q3_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos6_q3_5c\HeLa-S3_nuc_pos6_q3_5c_trackmate.xml,1456,1423,1394,1365,58,0,1423,0.0
seq0045_HeLa-S3_nuc_pos8_q3_5c,HeLa-S3_nuc_pos8_q3_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos8_q3_5c\HeLa-S3_nuc_pos8_q3_5c_trackmate.xml,1354,1340,1289,1276,64,0,1340,0.0
seq0046_HeLa-S3_nuc_pos11_q3_5c,HeLa-S3_nuc_pos11_q3_5c,DynamicNuclearNet,val,DynamicNuclearNet\tif_data\val\out\HeLa-S3_nuc_pos11_q3_5c\HeLa-S3_nuc_pos11_q3_5c_trackmate.xml,1352,1344,1273,1268,80,2,1344,0.0
seq0047_HeLa-S3_nuc_pos13_q0_5c,HeLa-S3_nuc_pos13_q0_5c,DynamicNuclearNet,val,DynamicNuclearNet\tif_data\val\out\HeLa-S3_nuc_pos13_q0_5c\HeLa-S3_nuc_pos13_q0_5c_trackmate.xml,1118,1099,1070,1050,49,0,1099,0.0
seq0048_HeLa-S3_nuc_pos13_q2_5c,HeLa-S3_nuc_pos13_q2_5c,DynamicNuclearNet,val,DynamicNuclearNet\tif_data\val\out\HeLa-S3_nuc_pos13_q2_5c\HeLa-S3_nuc_pos13_q2_5c_trackmate.xml,1002,996,958,954,42,0,996,0.0
seq0049_HeLa-S3_nuc_pos14_q2_5c,HeLa-S3_nuc_pos14_q2_5c,DynamicNuclearNet,val,DynamicNuclearNet\tif_data\val\out\HeLa-S3_nuc_pos14_q2_5c\HeLa-S3_nuc_pos14_q2_5c_trackmate.xml,704,702,684,682,20,0,702,0.0
seq0050_HeLa-S3_nuc_pos17_q0_5c,HeLa-S3_nuc_pos17_q0_5c,DynamicNuclearNet,val,DynamicNuclearNet\tif_data\val\out\HeLa-S3_nuc_pos17_q0_5c\HeLa-S3_nuc_pos17_q0_5c_trackmate.xml,1151,1136,1096,1079,61,2,1136,0.0
seq0051_HeLa-S3_nuc_pos19_q3_5c,HeLa-S3_nuc_pos19_q3_5c,DynamicNuclearNet,val,DynamicNuclearNet\tif_data\val\out\HeLa-S3_nuc_pos19_q3_5c\HeLa-S3_nuc_pos19_q3_5c_trackmate.xml,1585,1556,1503,1473,85,1,1556,0.0
seq0052_HeLa-S3_nuc_pos1_q0_5c,HeLa-S3_nuc_pos1_q0_5c,DynamicNuclearNet,val,DynamicNuclearNet\tif_data\val\out\HeLa-S3_nuc_pos1_q0_5c\HeLa-S3_nuc_pos1_q0_5c_trackmate.xml,786,783,739,737,50,2,783,0.0
seq0053_HeLa-S3_nuc_pos20_q3_5c,HeLa-S3_nuc_pos20_q3_5c,DynamicNuclearNet,val,DynamicNuclearNet\tif_data\val\out\HeLa-S3_nuc_pos20_q3_5c\HeLa-S3_nuc_pos20_q3_5c_trackmate.xml,942,940,906,904,36,0,940,0.0
seq0054_HeLa-S3_nuc_pos22_q2_5c,HeLa-S3_nuc_pos22_q2_5c,DynamicNuclearNet,val,DynamicNuclearNet\tif_data\val\out\HeLa-S3_nuc_pos22_q2_5c\HeLa-S3_nuc_pos22_q2_5c_trackmate.xml,2351,2268,2213,2131,141,2,2268,0.0
seq0055_HeLa-S3_nuc_pos23_q1_5c,HeLa-S3_nuc_pos23_q1_5c,DynamicNuclearNet,val,DynamicNuclearNet\tif_data\val\out\HeLa-S3_nuc_pos23_q1_5c\HeLa-S3_nuc_pos23_q1_5c_trackmate.xml,1668,1651,1607,1594,57,0,1651,0.0
seq0056_HeLa-S3_nuc_pos2_q3_5c,HeLa-S3_nuc_pos2_q3_5c,DynamicNuclearNet,val,DynamicNuclearNet\tif_data\val\out\HeLa-S3_nuc_pos2_q3_5c\HeLa-S3_nuc_pos2_q3_5c_trackmate.xml,1150,1139,1093,1087,54,1,1139,0.0
seq0057_HeLa-S3_nuc_pos6_q2_5c,HeLa-S3_nuc_pos6_q2_5c,DynamicNuclearNet,val,DynamicNuclearNet\tif_data\val\out\HeLa-S3_nuc_pos6_q2_5c\HeLa-S3_nuc_pos6_q2_5c_trackmate.xml,1545,1533,1471,1459,74,0,1533,0.0
